"weekday","avg_price","median_price"
0,"11720.755540783720","9770"
1,"12157.457873405023","9819"
2,"12002.982700162373","9651"
3,"12119.637793012063","9740"
4,"12470.282532880491","10201"
5,"13103.020212832564","10464"
6,"13014.068954086361","10587"
