"weeks_before","observations_count","avg_price","min_price","price_25pctl","median_price","price_75pctl","max_price"
12,"2573396",10752,614,7712,9273,11998,478525
9,"3212139",10625,614,7464,9008,11759,523375
6,"6451857",10977,614,7518,9164,12225,523375
3,"6302639",11396,614,7594,9401,12637,1048620
0,"11884804",12193,614,7860,9877,13506,1065222
