"day","records_count"
"2025-03-06","527"
"2025-03-07","39"
"2025-03-11","187"
"2025-03-14","426"
"2025-03-15","1704"
"2025-03-16","1468"
"2025-03-17","433"
"2025-03-19","625"
"2025-03-20","690"
"2025-03-21","794"
"2025-03-22","1401"
"2025-03-23","1649"
"2025-03-24","1442"
"2025-03-25","1483"
"2025-03-26","1420"
"2025-03-27","1147"
"2025-03-28","717"
"2025-03-30","20"
"2025-03-31","205"
"2025-04-01","659"
"2025-04-02","153"
