"day","avg_total_hours_2_km_30","avg_total_hours_2_km_15","avg_fix","avg_price_per_minute","avg_start"
"2025-03-06","1399.6717267552183","1100.741935483871","1591.7457305502846","21.838709677419356","39"
"2025-03-07","1420.7692307692307","1119.3076923076924","1046.6666666666667","20.53846153846154","39"
"2025-03-11","1385.3689839572191","1059.957219251337","942.2994652406417","19.56149732620321","53.427112299465236"
"2025-03-14","1338.9577464788733","1023.4741784037559","1074.037558685446","19.37892018779342","51.11697183098594"
"2025-03-15","1383.3609154929577","1058.6942488262912","751.3791079812206","18.578667840375573","46.19696596244136"
"2025-03-16","1374.0517711171663","1050.4891008174386","722.6021798365123","18.301226158038144","45.40713896457764"
"2025-03-17","1498.9237875288684","1181.4757505773673","1024.7344110854503","20.787251732101605","42.03921478060046"
"2025-03-19","1351.6016","1014.7376","813.408","17.50320000000003","51.83166400000001"
"2025-03-20","1237.986956521739","926.2942028985507","724.0579710144928","14.962724637681124","43.28815942028986"
"2025-03-21","1302.9017632241814","978.6171284634761","842.3551637279597","17.205163727959675","49.71736775818644"
"2025-03-22","1244.6324054246966","933.960028551035","701.1705924339757","16.462291220556686","47.85910064239827"
"2025-03-23","1170.0084899939357","875.7343844754397","610.5457853244391","15.977731958762869","45.37688295936937"
"2025-03-24","1393.9438280166435","1097.011095700416","982.6629680998614","21.91431345353676","47.630859916782214"
"2025-03-25","1369.888064733648","1078.7936614969656","1110.5259608900876","21.897019554956184","46.83589345920432"
"2025-03-26","1348.86338028169","1061.4345070422535","1043.0140845070423","22.09707042253518","47.22719718309856"
"2025-03-27","1459.6399302528334","1149.9659982563207","1047.8814298169136","22.270183086312123","45.31962510897991"
"2025-03-28","1394.1938633193863","1097.347280334728","1028.4379358437936","22.10799163179918","46.56181311018134"
"2025-03-30","1349.1","1057.7","742.5","20.211000000000002","40.2"
"2025-03-31","1447.770731707317","1140.8243902439024","668.2439024390244","21.93151219512196","46.897463414634146"
"2025-04-01","1408.0561456752655","1109.051593323217","985.5690440060698","21.59174506828529","46.365599393019735"
"2025-04-02","1553.1764705882354","1227.0065359477123","1080.7843137254902","22.37163398692809","47.26143790849673"
