"date","route_id","avg_total_2km_30","avg_total_2km_15","avg_fix","avg_price_per_minute","avg_start"
"2025-03-16","21","1566.1791044776119","1202.7910447761194","422.23880597014926","19.422985074626865","48.37253731343283"
"2025-03-16","22","1307.6461538461538","995.7538461538461","628.9230769230769","18.13784615384616","43.184615384615384"
"2025-03-17","1","1485.1","1166.05","1136.5","20.9595","41.8"
"2025-03-17","2","1513.5","1191.65","1325","20.973999999999997","41.6"
"2025-03-17","3","1561.45","1230.75","1275.5","21.442999999999998","45.3995"
"2025-03-17","4","1476.75","1164.6","1175.5","20.332","44"
"2025-03-17","5","1430.1","1123.2","1211","19.9555","39"
"2025-03-17","6","1481","1172.4","1333","21.1025","39.8"
"2025-03-17","7","1560.1","1232.65","1196","21.5495","46.2"
"2025-03-17","8","1551.15","1225.5","1367.5","20.708999999999996","46.8"
"2025-03-17","9","1560.1","1232.65","902","20.872999999999998","45"
"2025-03-17","10","1430.1","1123.2","968.5","19.7905","37"
"2025-03-17","11","1430.1","1123.2","706","19.958499999999997","37"
"2025-03-17","12","1560.5","1233.55","1245","21.1785","47"
"2025-03-17","13","1560.5","1233.55","1055","21.178500000000003","47"
"2025-03-17","14","1481","1172.4","839.5","20.086000000000002","38.2"
"2025-03-17","15","1506.0526315789473","1193.2631578947369","935.7894736842105","20.164736842105267","38.1578947368421"
"2025-03-17","16","1550.45","1225.4","793","21.38","45.4"
"2025-03-17","17","1545.65","1218.2","953","21.470499999999998","43.9995"
"2025-03-17","18","1444.111111111111","1133.5555555555557","907.2222222222222","20.537222222222216","39.44444444444444"
"2025-03-17","19","1444.111111111111","1133.5555555555557","813.3333333333334","21.112222222222222","39.44444444444444"
"2025-03-17","20","1459.2","1149.75","835.5","20.639999999999993","43.2"
"2025-03-17","21","1485.1","1166.05","655","20.6845","39"
"2025-03-17","22","1444.111111111111","1133.5555555555557","861.6666666666666","21.26444444444444","39.44444444444444"
"2025-03-19","1","1212.4666666666667","901.5","834.3333333333334","14.911000000000003","42.733333333333334"
"2025-03-19","2","1348.2413793103449","1012.2758620689655","996.8965517241379","17.868620689655174","50.37896551724138"
"2025-03-19","3","1296.0714285714287","967.3214285714286","850.3571428571429","17.251428571428573","48.92821428571428"
"2025-03-19","4","1382.7407407407406","1038.0740740740741","1001.8518518518518","17.08777777777778","50.184814814814814"
"2025-03-19","5","1288.4285714285713","966.6428571428571","993.9285714285714","17.038571428571423","46.714285714285715"
"2025-03-19","6","1448.448275862069","1088","1068.6206896551723","18.577241379310344","54.792068965517245"
"2025-03-19","7","1264","949.4230769230769","1089.2307692307693","16.95653846153846","49.96115384615385"
"2025-03-19","8","1347.8214285714287","1012.9285714285714","1031.0714285714287","17.352142857142855","57.285714285714285"
